entry	  دەم	زارک	دەرگانە	دەروو	ناڤدەر	درگا	دەرک	رێڕەو	پێشەکی	دەسپێک	لێما	لێمە	سەرواژە	سەروشە
deposit	  پێشەکی	دانانی پارە لەسەر هەژماری بانک	سپاردن	نیشتەمەنی	بننیشتوو									
drown	  خنکاندن	خنکان	خووساندن	تەڕکردن	بنبڕکردن									
establish	  دامەزراندن	بنیاتنان	ئافراندن	رۆنان	بناغە دانان									
movement	  جووڵە	بزووتنەوە	گوێزانەوە	تەڤگەر	بزاڤ									
penetrate	  کونکردن	چوونەناو	ڕەخنەکردن	ڕۆچوون	بڕین									
acknowledgment	  ڕاستاندن	پشت ڕاستکردنەوە	پێزانین	سوپاس گوزاری	بڕوانامە									
pull	  ڕاکێشان	کێشان	هەڵپەلیانی دەمار	زەرپ پێگەێشتن به ماسولکە	بریندار بوون									
stab	  خەنجەرلێدان	چەقۆلێدان	تێژەنین	کونکردن	برین									
gratitude	  پێزانین	سپاسگوزاری	بەئەمەگی	ئەمەگداری										
link	  پەیوەندی	پێکەوە بەستن	بەستەر	ئەڵقە										
function	  فرمان	پیشە	کردار	ئەرک										
java	  جاڤا	زمانێکی کۆمپیوتەرە	دوورگەی جاوا	ئیندۆنێیسیا										
legislature	  پەرلەمان	ئەنجومەنی یاسادانانی نیشتمانی	کۆنگرە	ئۆرگانی قانوون										
generation	  نه‌وه‌	به‌ره‌	پشت	ئه‌رباب										
spring	  بەهار	کانی	چاوکه	ئسپرینگ										
disclose	  ئاشکراکردن	دەرخستن	کردنەوە	ئاوەڵەکردن										
gestation	  سکپڕی	ماوه‌ی سکپڕی	سکداری	ئاوسی										
flood	  لافاو	توندئاو	شیپ	ئاوڕابوون										
exception	  هەڵاوێردی	بەردە	جیاکاری	ئاوارتە										
marker	  هێمادانەر	نیشانەلێدەر	نیشانەکەر	ئاماژەکەر										
make	  دروست کردن	وەبەرهێنان	ئەنجام دان	ئامادەکردن										
ignite	  هەڵکردن	دادگیرساندن	ئاگرتێبەردان	ئاگرگرتن										
publication	  بڵاوکراوە	گۆڤار	چاپ و بڵاو کردنەوە	ئاشکرا کردن										
lift	  بەرزکردنەوە	هەڵهێنان	بەرزکەرەوە	ئاسانسۆڕ										
brute	  دڵڕەق	بێبەزەیی	هۆڤ	ئاژەڵ										
discharge	  هەڵپەسارتن	دەر کردن	بەردان	ئازاد کردن										
peace	  ئاشتی	تەبایی	هێمنی	ئارامی										
kill	  کوشتن	ئازاردان	هێورکردنەوە	ئارام کردنەوە										
calm	  هێمن	هێدی	هەدار	ئارام										
refer	  ئاماژەبۆکردن	ناردن	سپاردن	ئاراستەکردن										
rush	  خێراڕۆیشتن	پەلەپەل	هێرش	ئاپۆرەی جەماوەر										
federation	  فێدراسیۆن	یەکێتی	هاوپەیمانی	یەکگرتن										
release	  ڕزگارکردن	ئازادکردن	بەردان	وەشاندن										
eliminate	  لابردن	سڕینەوە	قەڵاچۆکردن	وەدەرنان										
surpass	  سەرێتی	لەسەرتربوون	باشتربوون	وەپێشکەوتن										
require	  پێویستبوون	پێویستی پێبوون	داواکردن	ویستن										
stray	  بەرەڵا	دەربەدەر	رێ بزرکردن	وونبوو										
alter	  گۆڕین	گۆڕان	ورووژان	ورووژاندن										
abdomen	  هورگ	زگ	گەده	ورگ										
piece	  لەت	بەش	پارچە	وردە										
wealth	  سامان	دارایی	دەوڵەت	هەیەتی										
cumulus	  ‌هەوری گەورەی گڤکراو	کیومولوس	کۆمەڵه هەور	هەوری لەسەریەک هەڵچنراو										
moderate	  مامناوەند	میانەڕەو	سازگارکەر	هەموارکردن										
fill	  پڕکردنەوە	پڕبوونەوە	تێرکردن	هەڵنووساندن										
contain	  گرتنەوە	لەخۆگرتن	تێدابوون	هەڵگری										
protect	  پاراستن	ئاگالێبوون	پارێزگاری	هەڵگرتن										
immortal	  نەمر	بێمەرگ	هەمیشەیی	هەرماو										
panic	  سام	تۆقین	ترس‌ولەرز	هەراس										
owe	  قەرزداربوون	وامداربوون	دەین لە سەر بوون	هەبوون										
birth	  لەدایکبوون	منداڵ بوون	سک کردن	هێنانە دنیاوە										
empathy	  سۆزیاری	ئیمپاتی	هاوسۆزی	هاودڵی(چوونەنێوەوەی هەستی کەسێکی تر و تێگەیشتنی ئەوەی ئەو هەستی پێدەکا)										
persuade	  ڕازیکردن	قایلکردن	پاڵ پێوەنان بۆ کردنی شتێک	هاندان بۆ کڕینی شتێک										
harmony	  هاوئاهەنگی	سازگاری	هاودەنگی	هارمۆنی										
plot	  گەڵاڵه	گرێ	تانوپۆ	نەخشەی رووداوەکانی چیرۆک یان رۆمان له رەخنەی ئەدەبیدا										
scheme	  پلان	پلان دانان	نەخشە	نەخشە دارشتن										
pound	  دراوی ئینگلیزی	پاوەن	سەنگ	نەختێک کەمترلەنیوکیلۆ										
insolvency	  داماویەتی	نەتوانینی دانەوەی قەرز	دەست تەنگی	نەبوونی										
noon	  کاتی نیوەڕۆ	نیوەڕۆ	نێڕوان	نیوڕان										
image	  وێنە	نەخش	شێوە	نیگار										
gesture	  چاوجوڵاندن	سه‌یرکردن زۆر به‌خێرایی	هێما	نیشانه‌										
range	  ریزکردن	ڕێکخستن	هاوپەلکردن	نیشان لێگرتن										
target	  مەبەست	ئامانج	گۆڵ	نیشان										
perform	  ڕۆڵ بینین	ئەنجامدان	جێبەجێکردن	نواندن										
code	  کۆد	هێما	ڕەمز	نهێنی										
close	  داخستن	پێوەدان	نزیکبوونەوە	نزیک										
meaning	  مانا	واتا	مەبەست	ناوەڕۆک										
region	  دەڤەر	ناوچه	هەرێم	ناوه										
kitchen	  چێشتخانه	کلەر	مەتبەخ	ناندین										
transmit	  گواستنەوە	ڕاگوێزکردن	پەڕاندنەوە	ناردن										
absence	  بزری	لەوێ‌نەبوون	ئامادە نەبوون	نادیاری										
tendency	  ئاماڵ	بەرولایی	خواست	مەیل										
affinity	  نزیکایەتی	خزمایەتی	بەندیواری	مەیل										
float	  ژمارەی کەرت	سەرئاوکەوتوو	سەراوی	مەلەوەر										
ultimate	  کۆتایی	بنچینەیی	گەورەترین	مەزنترین										
metropolis	  پایتەخت	شار	جەرگەی بازرگانی	میترۆپۆل										
spouse	  جووت	هاوسەر	ژن	مێرد										
moment	  سات	نەتره	بزوێنی خولانەوه	مۆمێنت										
temperament	  مەجاز	میزاژ	سروشت	مۆڕک										
ownership	  خاوەنیەتی	وەێریەتی	خودانیەتی	موڵکایەتی										
compel	  ناچارکردن	پێکردن	وادارکردن	مل بادان										
perish	  تێداچوون	لەناوچوون	فەوتان	مردن										
measure	  کردەوه	چارەسەری	هەوڵ	مامەڵه										
domicile	  جێگەی مانەوه	بارەگه	نیشتنگه	ماڵ										
access	  چوونەناو	دەستپێگەیشتن	ڕێی چوونەژوورەوە یاتێپەڕبوون	مافی چوونەناو یان چوونەژوورەوە										
automobile	  ئوتۆمبیل	سەیارە	ترومبێل	ماشێن										
wail	  شیوەن کردن	ناڵین	لووراندن	ماتەم گرتن										
wear	  لەبەرکردن	لەدەست کردن	لەچاوکردن	لەسەرکردن										
invent	  داهێنان	ئافراندن	هەڵبەستن	لەخۆوەدەرنان										
consider	  سەرنجدان	تێڕامان	ڕەچاوکردن	لەبەرچاوگرتن										
supporter	  پاڵپشتی کەر	پشتیوانی لێ کەر	پشتگیری کەر	لایەنگری کەر										
support	  پاڵپشت	پشتیوانی	پشتگری	لایەنگری										
whelp	  توڵە	بەچکەی(سەگ	شێر)	لاسار										
arrival	  هاتن	هاتوو	گەیشتن	گەیشتوو										
fen	  زۆنگاو	زەلکاو	زۆنگ	گەناو										
increase	  زۆربوون	زۆرکردن	زیادکردن	گەشە										
zip	  زیپ بە جۆرە پەڕگەیەک دەوترێ کە پەڕگە و زانیاری تری تێدا گوشراوەو کۆ کراوەتەوە	ویزە	زنجیرەی بەرۆک	گیز										
stay	  مانەوه	ڕاگیربوون	وەستان	گیربوون										
monster	  دڕندە	ناشرین و پیس	دەعبا	گیانەوەر زل										
globe	  خره‌ی زه‌وی	جیهان	سه‌رزه‌وی	گێتی										
square	  توانی دووەم	چوارینه	چوارگۆشە	گۆڕەپان										
fluid	  شلە	شلەمەنی	ناجێگیر	گۆڕاو										
stress	  نهێم	سترێس	زەبر	گوشاری دەروونی										
urge	  هاندان	زۆرلێکردن	والێ کردن	گوشارخستنەسەر										
discuss	  تاووتوێکردن	دانوستان	وتووێژ	گفتوگۆ										
talk	  وتووێژ	تاووتوێ	قسەکردن	گفتوگۆ										
promise	  بەڵێن	پەیمان	سۆز	گفت										
wager	  گرەو	گرێو	مەرج	گرەوکردن										
given	  دراو	ڕاهاتوو	خووپێوەگر	گریمانە										
assume	  وادادەنێ	وادانان	دەست بەسەراگرتن	گرتنە دەست										
sport	  وەرزش	یاری	سەرگەرمی	گاڵتە										
cut	  بڕین	کرتاندن	دابەزاندن	کەمکردنەوە										
character	  نووسە	کەسایەتی	کاراکتەر	کەسێک له بەرهەمێکی ئەدەبیدا										
hill	  گرد	تەپکە	تەپکۆڵە	کێوی بچووک										
older	  بەتەمەنتر	بەساڵاچووتر	پیرتر	کۆنتر										
persist	  بەردەوامبوون	لەسەرڕۆیشتن	پێداگری	کۆڵنەدان										
faculty	  توانا	مامۆستایانی زانکۆ یا پەیمانگا	توانای بیرکردنەوە	کۆلێژ										
deciding	  خاڵی چارەنووس ساز	نزیک لە ئامانج	دوایی	کۆتایی										
shut	  دادەخستن	پێوەدان	گرتن	کوژاندنەوە										
operation	  نەشتەرگەری	برینگەری	کردەوەی نوژداری	کردار										
babe	  کۆرپە	مناڵی ساوا	مەلۆتکە	کچی جوان										
wrapper	  بەرگ(بەرگی کتێب و ڕۆژنامە)	پێچەرەوە	تێپێچ	کاغەزی شت پێچانەوە										
fellowship	  براده‌رێتی	هاوڕێیه‌تی	کۆمه‌ڵه‌ براده‌ر	قۆتابی زانکۆ که‌ یارمه‌تی دارایی درابێت										
flee	  دەرچوون	دەرپەڕین	هەڵاتن	قووچاندن										
pupil	  بیبیلەی چاو	چاوانە	فێرخواز	قوتابی										
approval	  ‌‌قەبووڵی	رەزامەندی	هاوڕایی	قایلی										
bone	  ئێسک	ئێسقان	بڕبڕە	قاچ										
official	  گشتی	ڕەسمی	یاسایی	فەرمانبەر										
fuse	  فیوز	فلیتە	پڵیتەچرا	فیوز دەکات										
discover	  دۆزینەوە	ئاشکرا کردن	دەرخستن	فێربوون										
discard	  وەلانان	خستنەلاوە	لابردن	فڕێدان										
drink	  خواردنەوە	شلەمەنی	مەی	شەڕاب										
vegetable	  ڕووەک	گیا	سەوزە	شینایی										
palm	  لەپی دەست	دەستی	دارخورما	شێوە دارخورمایی										
way	  ڕێ	ڕێگا	ڕێگا (مەجال)	شێواز										
fence	  پەرژین	شووره	کەسێک کڕین و فرۆشتن بە کەل و پەلی دزێتیەوە بکات	شمشێربازی										
damage	  زەرەرلێدان		تێکشاندن	شکاندن										
complaint	  سکاڵا	گازنده	گلەیی	شکات										
goods	  واڵه	کەلوپەل	کاڵا	شتومەک										
evidence	  بەڵگه	گۆڤان	ئاگادار	شایەت										
heavy	  قورس	گران	کێشدار	سەنگین										
executive	ئەو بەشەی حکوومەت کە بڕیارێک جێبەجێ دەکا	جێبەجێکار	راپەڕێنەر	سەرۆکی دەوڵەت										
win	  بردنەوە	دەباتەوە	سەرکەوتن	سەردەکەوێت										
wrist	  جومگەی دەست	مەچەک	سەرقۆڵ	سەردەست										
depend	  پشتپێبەستن	لەسەروەستان	کەوتنەسەر	سەربەشتێکەوەبوون										
wire	  وایەر	تاو	تەل	سیم										
hole	  کون	کونا	سۆنت	سیلاخ										
disc	  دیسک	ته‌پک	په‌پکه	سیدی										
intelligence	  زیرەکی	ژیری	هەواڵداری	سیخوڕی										
eroding	  داخوران	داڕمان	سێویان	سوون										
infringement	  پێشێلکاری	سەرپێچی	شکاندن	سنووردارکردن										
ethics	  رەوشت	ئاکار	دابی ئاکار	سنجی										
praise	  پیاهەڵدان	پیاهەڵاگوتن	هەڵدانەوە	ستایش										
following	  پێڕەو	دووکەوتوو	دوایی	ژێرەوە										
bag	  جزدان	جانتا	کیس	ژنێکی ناشیرن										
injure	  ئازاردان	بریندارکردن	زەخمارکردن	زیان پێگەیاندن										
richness	  دەوڵەمەندی	سامان	دارایی	زیادی										
growing	  زۆری لەقەبارە	پلە دا	گەشە دەکات	زیاد دەکات										
gabble	  چه‌نه‌دان	چه‌نه‌بازی کردن	قسه‌ی بێ تام کردن	زۆر وێژی کردن										
grievance	  سكاڵا	شکات	ستەملێکراوی	زوڵملێكراوی										
idiom	  ئیدیۆم	دەربڕینی زاری	زاراوه	زمانی تایبەت										
guy	  کەس	پیاو	کوڕ	زریزە										
hurt	  برین	بریندار	زام	زامدار										
discrimination	  جیاکاری	هەڵاوارن	جوداڕوانینی رەگەزی	ڕەگەزپەرستی										
impede	  تەگەرەی تێدەخات	ئاستەنگ هێنانە پێش	گیردان	ڕێگرتن										
accord	  ڕێکەوتن	بەند	هاوپەیمانی	ڕێکەوتننامە										
declaration	  گوفتار	گێڕانەوە	گوتن	ڕوونکردنەوە										
point	  خاڵ	نیشاندن	ئاماژەکردن	ڕووتێکردن										
saving	  پاشەکەوتکردن	هەڵگرتن	هەڵی ئەگرێ	ڕزگارکردن										
save	  پاشەکەوتکردن	هەڵگرتن	پاراستن	ڕزگارکردن										
illustration	  ڕوون کردنەوە	شێوەی ڕوونکردنەوە	نموونە	ڕاڤەکردن										
instant	  دەستبەجێ	یەکسەر	یەکەوجار	ڕاست										
relative	  خزم	کەس و کار	ڕێژەیی	ڕادەیی										
morality	  ڕەوشت	مۆنە	خوو	رەوشتی باش										
radical	  ڕیشەیی	رادیکاڵ	بنجی	رەگوریشەیی										
magnitude	  پرشنگدانەو	درەوشانەوه	پلەی تین	رووناکیی تەنێکی ئاسمانی										
allow	  رێدان	هێشتن	بواردان	روخسەتدان										
experience	  ئەزموون	پێشینە	دەچێژێت	دەناڵێنێت										
loyalty	  وەفاداری	بەئەمەکی	ئەرکناسی	دەڵسۆزی										
pierce	  کون دەكات	پێیدا دەچێت	تێدەچەقێنێت	دەقڵیشێنێت										
income	  داهات	دەرامەد	ئاژار	دەسکەوت										
insurance	  دابینی	بیمه	مسۆگەری	دەستەبەری										
acquire	  بەدەست هێنان	فێربوون	کار	دەست کەوتن										
arm	  باسک	باڵ	قۆڵ	دەست										
draw	  نیگارکێشان	یەکسانبوون	ڕاکێشان	دەرهێنان										
appear	  ئاماده بوون له دادگا	سەردەرنان	سەرهەڵدان	دەرکەوتن										
palace	  كۆشك	تەلار	دەربار	دیوەخانی پاشا										
fade	  کاڵبوونه‌وه‌	سیسبونه‌وه‌	له‌چاوونبوون	ده‌چڵێته‌وه‌										
universe	  گەردوون	جیهان	دونیا	دنیا										
emotion	  هەست	سۆز	پسوو	دنگۆ										
satisfy	  تێرکردن	قایل کردن	رازی کردن	دڵنیا کردن										
entertain	  سەرگەرم	قاڵبوون	کات بەسەربردن	دڵخۆشبوون										
call	  بانگ	هاوار	تەلەفون	داوا										
rent	  کرێ	بەکرێ دان	بەکرێ گرتن	داهاتی ساڵانە										
inhabit	  ئاوەدانکردنەوە	نیشتەجێبوون	تێداژیان	دانیشتوولە										
firm	  کۆمپانیا	بەهێز	بەرگر	دامەزراوی بازرگانی										
judgement	  بڕیاردان	بیر	ناوبژیوانی	دادوەری										
restrain	  گرتنەوە	وەستاندەن	راگرتن	داخستن										
think	  بیرکردنەوە	راوێچکە	تیاڕامان	خەیاڵ کردن										
worry	  نیگەران	خەفەت	مەراق	خەم										
population	  دانیشتووان	ئاپورە	ژمارەی دانیشتووان	خەلک										
duty	  ئەرک	فرمان	باج	خەرج										
dirt	  چڵک	پیسایی	پەڵە	خۆڵ										
deploy	  بڵاوکردنەوە	دامەزراندن	بەڕیزوەستاندن	خۆڕێکخستنی سەربازی										
adapt	  سازکردن	گونجاندن	ڕاهاتن	خۆڕاهێنان										
alliance	  هاوپەیمانی	پەیوەست	پەیوەند	خۆ بەستنەوە										
pronounce	  وتن	دووان	دەرخستن	خوێندنەوە										
temper	  حاڵ	نەریت	گێوڵ	خوو										
enter	  چوونەژوور	هاتنەناوەوە	تۆمارکردن	خستنەناوەوە										
append	  هاوپێچ کردن	لکاندن	پاشکۆکردن	خستنەپاڵ										
utility	  سوود	کاربەری	قازانج	خزمەتی شارەوانی وەکوو ئاو و کارەبا و گاز										
field	  دەشت	زەوی	کێڵگه	خانە										
dust	  سڕینەوە	تەکاندن	تۆز	خاک و خۆڵ										
crowd	  ئاپوورە	قەوتە	قەرەباڵغی	حەشامات										
hate	  ڕق لێبوون	قین لێبوون	بێزاربوون لە	حەزلێنەکردن										
surprise	  خافڵگیربوون	خافڵگیرکردن	سەرسام بوون	حەپەسان										
calculation	  ژمێرکاری‌	مەزەنده کردنەوه	خەملاندنی خەرج	حیساب										
progress	  ڕەوت	پێشکەوتن	بەردەوامبوون	چوونەپێش										
glue	  کەتیره	سرێش	چەسپ	چرک										
wrinkle	  چرچ و لۆچ بوون	ژاکاوی	کرژی	چرچ										
anticipate	  پێشەنگ بوون	پێشدانەوە	پێشبینی کردن	چاوەڕێ کردن										
possess	  هەبوون	بوونە خاوەن	چاودێری کردن	چاودێری کران										
lookout	  چاودێر	ڕوانگە	ووریابە	چاودێری										
thank	  سپاس کردن	سوپاس کردن	بەچاکەزانین	چاکەلەبەرچاوبوون										
resolution	  چارەنووساز	یەکلاکەرەوه	دوابڕیار	چارە										
era	  چەرخ	سەردەمی مێژوویی	دەم	چاخ										
audience	  گوێ گران	ئامادەبووان	میوانان	جەماوەر										
other	  دی	دیکە	ئەوی تر	جیاواز										
employment	  کار	ئیش	خزمەت	جێگا										
move	  جووڵەکردن	گواستنەوە	جووڵاندن	جووڵە										
disagreement	  ناقایلی	ڕێکنەکەوتن	جیاوازی	جودایی										
grate	  بێژه‌نگی ئاسنین	ئاگردان	هاڕین	جنین										
pressure	  پەستان	پاڵەپەستۆ	گوشار	تەوژ										
fire	  ئاگر	وەدەرنان	لەسەرکارلابردن	تەقەکردن										
learn	  فێربوون	فێرکردن	زانین	تێگەیشتن										
impact	  بەریەککەوتن	لێککەوتن	بەیەکاماڵین	تێکهەڵچوون(لێکدانێک له نێوان دوو تەنی هەسارەیی)										
bankruptcy	  مایەپووچی	موفلیسی	کاولی	تێکشکاوی										
expire	  کات بەسەرچوون	خراپ بوون	کۆن بوون	تێک چوون										
comment	  بۆچوون	لێدوان	سەرنج	تێبینی										
power	  هێز	ئاوزان	دەسەڵات	توانایی										
examine	  ورد پشکنین	تاقی کردنەوە	لێکۆڵینەوە	تاوتوێ کردن										
hour	  كاژێر	شەست خولەك	سات	تاو										
tag	  تیتک	پارچە	پینە	تاگ										
sign	  واژۆ کردن	نیشانە	هێما	تابڵۆ										
associate	  هاوپیشە	هاوکار	هاوپەیوەند	پەیوەندی کردن										
relate	  گێڕانەوە	وتن	بەستنەوە	پەیوەندی										
wedge	  ئەسپین	دار یان ئاسنێکی نووک پان و تیژ	دارتڵیش	پیواز										
feel	  هەست دەکات	هەستکردن	هەست	پێیوایە										
fasten	  به‌ستن	سه‌پاندن به‌سه‌ردا	پێوه‌به‌ستران	پێوه‌لکان										
staff	  کارمەند	ستاف	دار (ئاڵا	پێوانە)										
give	  دان	پێدان	دانەدەست	پێشکەشکردن										
practice	  مەشقکردن	ڕاهێنان	بە کردارکردن	پێداچوونەوە										
practise	  مەشقکردن	ڕاهێنان	بە کردارکردن	پێداچوونەوە										
money	  دراو	دراڤ	پارە	پووڵ										
calf	  گوێرەکە	گۆلک	گوێلک	پوز										
cousin	  خزم	ئامۆزا	خاڵۆزا	پورزا										
glorify	  مه‌زنکردن	به‌رزکردنه‌وه‌	گه‌وره‌کردن	په‌رستن بۆ خوا										
post	  پۆست	پەیام	بڵاوکراوە	پلەوپایە										
credit	  متمانەی پێدانی قەرز	مۆڵەتی قەرزپێدان	ژوان	پشتیوانە										
disrupt	  تێکدان	شپڕژەکردن	پچڕاندن	پساندن										
lay	  دانان	سەپاندن	کردن	پانکردن										
clear	  سایی	ساماڵ	ساف	پاککردنەوە										
coin	  سککه	قەرەپووڵ	پارەی کانزا	پارەی ئاسن										
shield	  گولەبەن	قەڵخان	سوپەر	پارێزگاریکار										
meet	  کۆبونەوە	یەکتربینین	چاوپێکەوتن	بەیەک گەییشتن										
exact	  کتومت	درووست	تەواو	بەوردی										
enjoy	  چێژوەرگرتن	چێژبردن	هەبوون	بەهرەمەند بوون لە										
gift	  دیاری	خەڵات	بەخشیش	بەهرە										
prominent	  بەرچاو	گرنگ	دیار	بەناوبانگ										
proof	  نموونەی چاپخانه	گەڵاڵەێک بۆ راستکردنەوەی هەڵەکان پێش چاپی کۆتایی	سەلماندن	بەڵگە										
approve	  پەسەندکردن	مۆرکردن	ڕالەسەبوون	بەلاوەباشبوون										
attack	  هێرش	پەلاماردان	هێرش بۆبردن	بەگژداچوونەوە										
involve	  تێوەگڵان	تووشکردن	خستنە ناو	بەشدار بوون										
department	  دێپارتمان	کارگیڕی	دایره	بەش										
component	  پارچە	پێکهاتە	پێکهێنەر	بەش										
defend	  بەرگریکردن	لەسەرکردنەوە	پارێزگاریکردن	بەرگری										
enlarge	  گەورەکردن	پەرەپێدان	بەرینکردن	بەرفراوانکردن										
manage	  بەڕێوەبردن	ڕاپەڕاندن	توانین	بەردەوام بوون										
competition	  پێشبڕکێ	هاوڕکی	بەربەرەکانێ	بەرامبەرکێ										
seek	  بەدواگەڕان	داواکردن	لێگەڕان	بەدواداچوون										
awake	  هەستاو	بەئاگا	بێدار	بەخەبەر										
raise	  بەرزکردنەوە	هەڵهێنان	زیادکردن	بەخێوکردن										
produce	  بەرهەمهێنان	چاک کردن	دروست کردن	بەچکە کردن										
walk	  ڕۆشتن	پیاسە کردن	ڕێکردن	بەپێ ڕۆشتن										
sail	  کەشتیوانی	دەریاوانی :	گەشتی دەریا	بە چارۆکە ڕۆشتن لە دەریا										
ideology	  ئایدیۆلۆژی	رێباز	رێبیر	بیرۆکه										
folly	  گەمژەی	نەزانی	گەوجی	بێ عەقڵی										
center	  چەق	سەنتەر	ناوەڕاست	بنکە										
centre	  چەق	سەنتەر	ناوەڕاست	بنکە										
crisp	  خاو	ناوپۆش	بوژاوە	بزێو										
vanish	  ونبوون	بزربوون	دیارنەمان	بزربوونی لەپڕڕا										
pink	  پەمەیی	چێرەیی	کون کون کردن	بڕین										
roar	  هاوار	نەڕاندن	قیڕاندن	بانگ کردن										
flat	  نهۆم	تەخت	پان	باڵەخانه										
funds	  سەرمایەکان	پارەکان	پارە	باڵانس										
discourse	  لێدوان	دیسکۆرس	گوتاردان	باسکردن										
garden	  باخ	باخچە	بێستان	باخی سەوزا										
objective	  ئامانج	مەبەست	ئاڕاستەکەر	بابەتی										
subject	  بکەر	کریار:سەردێڕ	ناونیشان	بابەت										
theme	  خاڵی سەرەکی	تێم	باس	بابەت										
refund	  گێڕانەوەی پارە لە لایەن فرۆشیارەوە بۆ کڕیار	بۆ گێڕانەوە	بۆناردنەوە	:دانەوە										
tax	  باج	خاوه	زەکات	(سەرانه)										
next	  داهاتوو	دوایی	ئەوی تر											
resort	  سەیرانگا	شوێنی سەرنج ڕاکێش	ئەو شوێنانەی کە گەشتیاری زۆر سەردانی دەکات											
computation	  ژماردن	لێکدانەوە	ئەنجامی ژماردنێک											
consequence	  ئاکام	سەرەنجام	ئەنجام											
booze	  مەی:شەراب	بادە	ئەلکهول											
planet	  هەساره	پلانێت	ئەستێرەی گەڕۆک											
injury	  برین	برینداربون	ئەزار پێگەیشتن											
job	  کار	فه‌رمان	ئیش											
volition	  خواست	ویست	ئیراده											
envy	  چاونژێری	بەخێڵی	ئێرەیی											
gauge	  پێوانه‌	پێوه‌ر	ئه‌ندازه‌											
channel	  کەناڵ	تەنگە‌ڵان	ئاوەڕۆ											
celebrate	  ئاهەنگ گێڕان	جەژن گرتن	ئاهەنگی ڕێزلێنان											
festivity	  جەژن	شادی	ئاهەنگ											
vehicle	  ئۆتۆمبیل	گالیسکە	ئامڕازی هاتووچۆ											
suggest	  پێشنیارکردن	پێشنیاز	ئاماژە کردن بۆ											
notice	  سەرنجدان	تێبینی	ئاگاداری											
result	  ئەنجام	دومایی	ئاکام											
creativity	  بەدیهێنانیەتیی	توانای داهێنانی	ئافراندنیەتی											
hindrance	  کۆسپ	لەمپەڕ	ئاستەنگ											
painkiller	  ئازاربڕ	ئازارشکێن	ئازارکوژ											
march	  خاکەلێوە	مانگی سێ	ئادار											
fund	  سەرمایەی هەرمانی(هەمیشەیی)	فەند	ئابوونه											
confederation	  کۆنفێدراسیۆن	کۆمەڵە	یەکێتی											
merge	  تێکەڵکردن	تێک ئاڵاندن	یەکخستن											
union	  یەکێتی	یەکگرتن	یەکبوون											
unify	  یەکخستن	کردنەیەک	یەک پێگرتن											
assistant	  هاوکار	هاریکار	یاریدەدەر											
memorial	  بیرەوەری	‏نیشانەی بیرەوەریی	یادگاری											
monument	  پەیکەر	پەیکەریادکردنەوە	یادگاری											
respond	  وەڵامدانەوە	کاردانەوە	وەڵام											
constellation	  روومەتی ئاسمانی	بورج	وێنەی ئاسمانی											
sample	  نموونە	بەرکوڵ	وێنە											
wipe	  پاک کردنەوە	سڕینەوە	ووشک کردنەوە											
excite	  بزواندن	ئاڵۆزاندن	ووروژاندن											
speak	  قسەکردن	دووان	ووتوێژکردن											
glint	  دره‌وشانه‌وه‌	شه‌وقدانه‌وه‌	وه‌ک بروسکه‌ بزوان یا تێپه‌ربوون											
consciousness	  و‌شیاری	ئاگایی	وریای											
subculture	  گچکەکەلتوور	ژێرکەلتوور	وردەکەلتوور											
phrase	  دەستەواژه	کورتەقسه	وته											
word	  وشه	پەیڤ	وته											
repeat	  دووبارەکردنەوە	دووپاتکردنەوە	وتنەوە											
declare	  ڕاگەیاندن	دەربڕین	وتن											
lend	  قەرزدان	قەرزپێدان	وام پێدان											
gawk	  ساویلکه‌	سه‌رسوڕمان	واقوڕمان											
withdraw	  کشانەوە	گەڕانەوە	وازهێنان											
duration	  ماوە	کات	وادە											
terrace	  بانجیله	تێراس	هەیوان											
pick	  هەڵبژاردن	هەڵگرتن	هەڵگرتنەوە											
throw	  هاویشتن	فڕێدان	هەڵدان											
eject	  فڕێ دان	دەرپەڕاندن	هەڵدان											
poet	  هۆزانوان	شاعیر	هەڵبەستوان											
select	  دەست نیشانکردن	جیاکردنەوە	هەڵبژراردن											
selection	  هەڵبژاردە	کۆمەڵە هەڵبژێراوێک	هەڵبژاردن											
motivation	  بزوێنەر	هاندەر	هەست جوڵێنەر											
inspire	  ئیلهام بەخش	پاڵپێوەنەر بۆ کردنی کارێک	هەست جوڵێنەر											
district	  ناوچه	دەڤەر	هەرێم											
zone	  ناوچە	بەش	هەرێم											
young	  گەنج	لاو	هەرزەکار											
floor	  زەوی	کەفی ژوور	هەرد											
material	  مەتێریاڵ	ماده	هێمان											
vigour	  هێز	چالاکی	هێز و چالاکی دەروونی و لەش											
force	  زۆرلێکردن	بەزەبری هێز	هێز											
beat	  لێ دان	دەکوتێ	هێرش بردن											
fabricate	  دروستکردن	پێکه‌وه‌نان	هه‌ڵبه‌ستن											
grown	  بالغ	پێگه‌شتوو	هه‌رزه‌کار											
mind	  بیر	هۆش	هزر											
idea	  بیرۆکه	بیرێکی کوتوپڕی	هزر											
helper	  یارمەتیدەر	کۆمەککار	هاوکاری کەر											
simulate	  لاسایی کردنەوە	وانیشان دان	هاوشێوە کردن											
friendship	  دۆستایەتی	برادەرێتی	هاوڕێیەتی											
import	  هاوردن	هێنان	هاوردە											
valency	  گونجانی کیمیای	پێکهاتەی ئەتۆمی	هاوتای رەگەز											
